text,label
" Københavns Kommune vil fremover øve sig i at kommunikere hensynsfuldt til borgerne, herunder LGBT-personer. Det skriver Københavns Kommune i en pressemeddelelse. Det sker som led i en ny sprogpolitik, som kommunen har vedtaget. - Vi skal være bedre til at tage hensyn til vores borgere, der har en minoritetsstatus, og som kan føle sig udsatte på grund af deres baggrund. - Det gælder eksempelvis borgere med anden etnisk baggrund end dansk, men også borgere med forskellige seksuelle orienteringer og kønsidentiteter, siger overborgmester Frank Jensen (S) i pressemeddelelsen. Sprogpolitikken skal sikre, at kommunens ansatte bliver bedre til at kommunikere hensynsfuldt med borgerne. Det skal blandt andet ske ved at øve sig i at bruge den rigtige sprogbrug. - Vi skal være opmærksomme på, hvordan vi taler til hinanden og til borgerne. ",0
"De seneste ugers store demonstrationer og de sygeplejersker, der har valgt at gå ned i tid, har fået politikerne til at reagere. I sidste uge præsenterede regeringen og Dansk Folkeparti et sundhedsudspil, der blandt andet indeholder en ændring af efterlønnen for at få flere sygeplejersker tilbage i job. Men det er ikke alle sygeplejersker, der er lige begejstrede for udsigten til at vende tilbage til en hverdag med mangel på sygeplejersker og stigende arbejdspresset. TV 2 har talt med tre sygeplejersker, der alle har valgt at gå ned i tid, fordi de ikke kunne se sig selv overleve som sygeplejersker i den nuværende situation. To af dem overvejer nu at vende tilbage til jobbet. Men det er ikke noget, man bare kan gøre, lyder det fra flere eksperter.",0
"Københavns Kommune vil fremover øve sig i at kommunikere hensynsfuldt til borgerne, herunder LGBT-personer. Det skriver Københavns Kommune i en pressemeddelelse. Det sker som led i en ny sprogpolitik, som kommunen har vedtaget. - Vi skal være bedre til at tage hensyn til vores borgere, der har en minoritetsstatus, og som kan føle sig udsatte på grund af deres baggrund. - Det gælder eksempelvis borgere med anden etnisk baggrund end dansk, men også borgere med forskellige seksuelle orienteringer og kønsidentiteter, siger overborgmester Frank Jensen (S) i pressemeddelelsen. Sprogpolitikken skal sikre, at kommunens ansatte bliver bedre til at kommunikere hensynsfuldt med borgerne. Det skal blandt andet ske ved at øve sig i at bruge den rigtige sprogbrug. - Vi skal være opmærksomme på, hvordan vi taler til hinanden og til borgerne.",0
"De seneste ugers store demonstrationer og de sygeplejersker, der har valgt at gå ned i tid, har fået politikerne til at reagere. I sidste uge præsenterede regeringen og Dansk Folkeparti et sundhedsudspil, der blandt andet indeholder en ændring af efterlønnen for at få flere sygeplejersker tilbage i job. Men det er ikke alle sygeplejersker, der er lige begejstrede for udsigten til at vende tilbage til en hverdag med mangel på sygeplejersker og stigende arbejdspresset. TV 2 har talt med tre sygeplejersker, der alle har valgt at gå ned i tid, fordi de ikke kunne se sig selv overleve som sygeplejersker i den nuværende situation. To af dem overvejer nu at vende tilbage til jobbet. Men det er ikke noget, man bare kan gøre, lyder det fra flere eksperter.",0
"En 33-årig mand, der i maj 2020 blev dømt for landsforræderi, har valgt ikke at anke dommen. Det oplyser mandens forsvarsadvokat, Torben Koch, til Ritzau. - Min klient har været meget rolig og stille under hele sagen. Han er tilfreds med, at det nu er færdigt, siger advokaten. Landsretten fandt den 33-årige mand skyldig i at have fremsat trusler mod en person, der vidnede mod ham i sagen. Men han blev frifundet for anklager om vold og trusler mod en anden person. Retten i Odense idømte den 33-årige mand 14 års fængsel. Dommen blev afsagt torsdag den 8. maj. Manden har siddet varetægtsfængslet siden oktober 2021. Derfor vil han blive overført til et arresthus, hvor han kan begynde at afsone sin straf, oplyser Torben Koch.",0
"21-årige Anna Søby Poulsen fra Hjortshøj blev torsdag eftermiddag løsladt af politiet i Panama, hvor hun har siddet fængslet siden juli. Hun var på vej hjem til Danmark med sin familie. Anna Søby Poulsen blev anholdt i juli, da hun var på ferie i Panama med sin familie. Her blev hun sigtet for at have overført penge til en kontantautomat i Panama City for at hjælpe en nær veninde med at undgå fængsel. Men hun nægtede sig skyldig, og nu er hun altså blevet løsladt. Anna Søby Poulsen risikerede op til 15 års fængsel, men torsdag blev hun løsladt efter et retsmøde, hvor anklageren ikke havde beviser nok til at fastholde varetægtsfængslingen.",0
"Energiminister Dan Jørgensen (S) har besluttet at udskyde lukningen af tre kraftværker. Det skriver ministeren i et blogindlæg på ministeriets hjemmeside. - Det er vigtigt at sikre, at vi får en mere stabil forsyningssituation fremover, og derfor har jeg besluttet at udskyde lukningen af tre kraftværker, skriver han. Der er tale om et sjællandsk kraftværk og to i Jylland. De tre kraftværker har været udpeget til lukning som led i den grønne omstilling af energisystemet. Lukningen af de to jyske kraftværker var allerede blevet besluttet udskudt med et år. Det skyldes, at det ikke er muligt at finde købere til elproduktionen fra de to værker, Tørring 1 og Tørring 2. Det samme gør sig gældende for det sjællandske kraftværk, Middelgrunden.",0
"Torsdag blev det afsløret, at kronprins Frederik og kronprinsesse Mary har været i kontakt med deres søn, prins Christian, om hans sag om krænkelser. Det skete, efter at Ekstra Bladet torsdag morgen bragte et lydklip fra et telefonopkald mellem prins Christian og hans far. I lydklippet kaldte kronprins Frederik sagen for ""et familieanliggende"", og det har fået flere til at spørge, om monarkerne skal blande sig i deres børns retssager. Men det er en helt naturlig handling, mener kongehusekspert Lars Hjortshøj Olesen. - Det er helt naturligt, at forældre støtter deres børn i en så alvorlig sag som den her. Det er ikke noget, der er udtryk for en magtfuld indblanding fra monarkiets side, siger han til TV 2.",0
"En spotter fra det danske flyvevåben har i de seneste dage observeret flere russiske krigsskibe nord for Læsø. Det skriver Forsvaret i en pressemeddelelse fredag. - Det er første gang, at vi i Danmark har haft en spotter på vingerne, som har kunnet identificere og følge flere russiske krigsskibe i dansk farvand, siger viceadmiral Finn Thorsager, chef for Forsvarets operative kommando, i meddelelsen. Spotternes tilstedeværelse nord for Læsø kommer samtidig med, at der er kommet flere russiske fly og helikoptere til overfladen i området. Det skriver JydskeVestkysten fredag. Ifølge avisen er der tale om et bemærkelsesværdigt sammentræf af aktiviteter i de danske farvande. Det mener Torben Hansen, der er seniorforsker ved Dansk Institut for Internationale Studier (DIIS).",0
"Prins Joachim er tydeligt berørt over, at hans mor, Margrethe, har været udsat for kritik i forbindelse med sin rolle som bisidder for en række børn i kommunale anbragte familier. Han fortæller i et interview med TV 2, at han ikke har lyst til at uddybe sit forhold til sin mor yderligere. - Det behøver jeg vist ikke at uddybe, siger prinsen til TV 2. TV 2 har talt med Margrethe, der også er kendt som dronningen, om hendes rolle som bisidder for børn i kommunale anbragte familier. Hun fortalte blandt andet om en sag, hvor hun mener, at et barn er blevet ""glemt"" af kommunen. Dronningen har fået lov til at følge fem børns skæbner i deres liv i kommunale anbragte familier. Det skete, efter hun selv bad om det.",0
